conversation_id_str,created_at,full_text,in_reply_to_screen_name,lang,retweet_count,tweet_url,user_id_str,username,label_pakar,full_text_bersih
2.05156e+18,2026-05-05T09:31:54.000Z,"@Xbacottetangga beruntung beliau nya seorang damkar, coba dia anggota sanusi...",Xbacottetangga,in,0,https://x.com/kirapras/status/2051595735054115042,1.98851e+18,kirapras,positif,"@Xbacottetangga beruntung beliau nya seorang damkar, coba dia anggota sanusi..."
2.05197e+18,2026-05-06T10:06:44.000Z,"Pernah ngebayangin dr. Gia dan dr. Tirta jadi petugas pemadam kebakaran?
Gaya boleh berbeda, tapi tujuannya sama yaitu untuk melayani dan menjaga warga tetap aman.

#drGiadrTirta #PemadamJakarta #JagaJakarta #JAKI - @dkijakarta https://t.co/r4OGqlGBcx",,in,1,https://x.com/humasjakfire/status/2051966890231447745,555862521.0,humasjakfire,positif,"Pernah ngebayangin dr. Gia dan dr. Tirta jadi petugas pemadam kebakaran?
Gaya boleh berbeda, tapi tujuannya sama yaitu untuk melayani dan menjaga warga tetap aman.

#drGiadrTirta #PemadamJakarta #JagaJakarta #JAKI - @dkijakarta https://t.co/r4OGqlGBcx"
2.05304e+18,2026-05-09T09:08:55.000Z,"pekerjaan yg ga ada hatersnya

âœ¨DAMKARâœ¨",,in,21,https://x.com/unmagnetism/status/2053039501942141213,8.4327e+17,unmagnetism,positif,"pekerjaan yg ga ada hatersnya

âœ¨DAMKARâœ¨"
2.04506e+18,2026-04-17T08:22:53.000Z,"izin melaporkan minn, ada mobil tukang tahu bulat terbakar tkp di jl. kenari pukul 14:30wib sudah terkondisikan oleh petugas pemadam kebakaran, terimakasih pada pihak yang sudah membantu juga kepada petugas keamanan smkn 5 yogyakarta yang berkenan menggunakan apar guna membantu https://t.co/5iOfOkwwiJ",,in,0,https://x.com/merapi_uncover/status/2045055383832781286,1.2798e+18,merapi_uncover,positif,"izin melaporkan minn, ada mobil tukang tahu bulat terbakar tkp di jl. kenari pukul 14:30wib sudah terkondisikan oleh petugas pemadam kebakaran, terimakasih pada pihak yang sudah membantu juga kepada petugas keamanan smkn 5 yogyakarta yang berkenan menggunakan apar guna membantu https://t.co/5iOfOkwwiJ"
2.05184e+18,2026-05-06T10:31:18.000Z,"@Nocliping_ @kol5_story Afpi isinya petinggi panjul, ojeka jg miara panjul
Gak bakal diladenin
Itu kasus damkar, klo gak rame jg gak diputus kontrak tuh si dece/epce nya",Nocliping_,in,0,https://x.com/anantavartula/status/2051973070550966732,1.673e+18,anantavartula,netral,"@Nocliping_ @kol5_story Afpi isinya petinggi panjul, ojeka jg miara panjul
Gak bakal diladenin
Itu kasus damkar, klo gak rame jg gak diputus kontrak tuh si dece/epce nya"
2.05165e+18,2026-05-05T12:53:07.000Z,"Kemaren wamenaker nyuruh anak muda ciptain lapangan kerja, sekarang presiden minta kampus beresin masalah sampah sama lingkungan. Universitas itu harusnya jadi pusat riset dan inovasi, bukan jadi damkar buat birokrasi pemda yang anggarannya ada tapi gak becus ngeksekusinya",,in,0,https://x.com/GodDamnsUs/status/2051646369967096166,1.99987e+18,GodDamnsUs,netral,"Kemaren wamenaker nyuruh anak muda ciptain lapangan kerja, sekarang presiden minta kampus beresin masalah sampah sama lingkungan. Universitas itu harusnya jadi pusat riset dan inovasi, bukan jadi damkar buat birokrasi pemda yang anggarannya ada tapi gak becus ngeksekusinya"
2.0533e+18,2026-05-10T07:09:03.000Z,"@_BangFu Suruh diem d rumah 5 jam dlm seminggu ..itungan baget jd orang. 

Atau ikutan jalan kaki /naik sepeda .drpd ngedumel  tensi. Asam lambung

Btw kalo ada sikon emergency msh bisa kok jalur busway tembus 
misal utk ambulans  pemadam kebakaran bs lewat",_BangFu,in,0,https://x.com/mas_T4keda/status/2053371725354832269,1.90111e+18,mas_T4keda,positif,"@_BangFu Suruh diem d rumah 5 jam dlm seminggu ..itungan baget jd orang. 

Atau ikutan jalan kaki /naik sepeda .drpd ngedumel  tensi. Asam lambung

Btw kalo ada sikon emergency msh bisa kok jalur busway tembus 
misal utk ambulans  pemadam kebakaran bs lewat"
2.05307e+18,2026-05-10T16:38:28.000Z,"@ImminentAdi @sibambaang ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£  eleeeh lu sambil cari tau juga kannn...wkwkwkw ðŸ¤£ðŸ¤£ðŸ¤£ jadii guru yang berkualitas, bersertifikasi  menerima penghasilan diatas rata2 pegawai lain seperti penyuluh pertanian, bahkan petugas  damkar.  Klo belum, artinya dia junior, belum pengalaman. Masa mau diratakan ðŸ¤£",ImminentAdi,in,0,https://x.com/rommybrother/status/2053515021750305063,2308405375.0,rommybrother,positif,"@ImminentAdi @sibambaang ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£  eleeeh lu sambil cari tau juga kannn...wkwkwkw ðŸ¤£ðŸ¤£ðŸ¤£ jadii guru yang berkualitas, bersertifikasi  menerima penghasilan diatas rata2 pegawai lain seperti penyuluh pertanian, bahkan petugas  damkar.  Klo belum, artinya dia junior, belum pengalaman. Masa mau diratakan ðŸ¤£"
2.05312e+18,2026-05-10T10:13:48.000Z,@blueming_day Ini ya harus nya damkar harus ready selalu didepan istanaðŸ˜­,blueming_day,in,0,https://x.com/lilterbalik/status/2053418218723962906,1.9069e+18,lilterbalik,positif,@blueming_day Ini ya harus nya damkar harus ready selalu didepan istanaðŸ˜­
2.04982e+18,2026-04-30T12:09:07.000Z,"Selamat &amp; sukses untuk Dinas Pemadam Kebakaran dan Penyelamatan Kota Bekasi! ðŸ”¥ðŸ†
Atas prestasi gemilang sebagai Juara Umum National Fire Fighter Skill Competition 2026 di Palembang. https://t.co/IttsjDp7Yv",,in,0,https://x.com/pemkotbekasi/status/2049823359840772345,379647347.0,pemkotbekasi,positif,"Selamat &amp; sukses untuk Dinas Pemadam Kebakaran dan Penyelamatan Kota Bekasi! ðŸ”¥ðŸ†
Atas prestasi gemilang sebagai Juara Umum National Fire Fighter Skill Competition 2026 di Palembang. https://t.co/IttsjDp7Yv"
