conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,full_text_bersih
2045259306111815752,2026-04-17T21:53:12.000Z,1,"#Gempa Mag:5.4, 18-Apr-2026 04:46:29WIB, Lok:6.05LS, 148.56BT (909 km Tenggara PEG-BINTANG-PAPUA), Kedlmn:22 Km #BMKG 
Disclaimer:Informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/QDuCtY2ZGm",2045259306111815752,https://pbs.twimg.com/tweet_video_thumb/HGI4gCWaAAAl6Tw.jpg,,in,,0,0,0,https://x.com/infoBMKG/status/2045259306111815752,108543358,infoBMKG,mag apr wib lokls bt km tenggara pegbintangpapua kedlmn km disclaimerinformasi utama cepat hasil olah data stabil bisa ubah iring lengkap data
2045257285208097047,2026-04-17T21:45:10.000Z,2,"#Gempa Mag:2.3, 18-Apr-2026 04:41:43WIB, Lok:8.60LS, 110.26BT (77 km BaratDaya GUNUNGKIDUL-DIY), Kedlmn:19 Km #BMKG 
Disclaimer:Informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/R2pqPiUeEr",2045257285208097047,https://pbs.twimg.com/tweet_video_thumb/HGI2qboaUAAneT3.jpg,,in,,0,0,1,https://x.com/infoBMKG/status/2045257285208097047,108543358,infoBMKG,mag apr wib lokls bt km baratdaya gunungkiduldiy kedlmn km disclaimerinformasi utama cepat hasil olah data stabil bisa ubah iring lengkap data
2044219030488400182,2026-04-15T00:59:31.000Z,4083,"Komplotan Begal Terhadap Petugas Pemadam Kebakaran Di Gambir Dibekuk Polisi, 7 Pelaku Diamankan ‼

Jajaran Polres Metro Jakarta Pusat menangkap komplotan begal yang beraksi di kawasan Gambir, Jakarta Pusat. Penangkapan dilakukan pada Senin (13/4/2026) di sebuah apartemen di https://t.co/nBDaGqdyiy",2044219030488400182,https://pbs.twimg.com/amplify_video_thumb/2044218583451103232/img/s_glWj_Hj9UFrYis.jpg,,in,,34,179,560,https://x.com/RadioElshinta/status/2044219030488400182,121640063,RadioElshinta,komplot begal tugas madam bakar gambir bekuk polisi laku aman jajar polres metro jakarta pusat tangkap komplot begal aksi kawasan gambir jakarta pusat tangkap laku senin buah apartemen
2044985864586248552,2026-04-17T03:47:52.000Z,0,"Setelah mengerahkan 10 unit dan 50 personel, pemadaman api dinyatakan selesai pukul 04.52 WIB.",2044986172821434467,,humasjakfire,in,,0,0,0,https://x.com/humasjakfire/status/2044986172821434467,555862521,humasjakfire,kerah unit personel madam api nyata selesai pukul wib
2044316588095221804,2026-04-15T07:27:10.000Z,1,"Polisi menangkap sejumlah pelaku pencurian dengan kekerasan (curas) atau begal terhadap seorang anggota pemadam kebakaran di kawasan Jakarta Pusat. Bahkan, peristiwa yang dialami korban sempat menjadi perhatian publik setelah videonya viral di media sosial. Ada sebanyak 5 pelaku https://t.co/45esaRQ4Xg",2044316588095221804,https://pbs.twimg.com/media/HF7fFsSaUAAAicR.jpg,,in,,0,0,1,https://x.com/RadioElshinta/status/2044316588095221804,121640063,RadioElshinta,polisi tangkap jumlah laku curi keras curas begal orang anggota madam bakar kawasan jakarta pusat bahkan peristiwa alami korban sempat jadi perhati publik video viral media sosial banyak laku
2043179300048830891,2026-04-12T04:16:44.000Z,1,"@MindaXtv Cara memadamkan api, ambil kain basah yang bisa menyerap air, basahi, lalu tutup apinya sampai gak ada udara yang masuk.",2043181498875232669,,MindaXtv,in,,0,1,1,https://x.com/Lima8Satu/status/2043181498875232669,1237012707481550848,Lima8Satu,cara madam api ambil kain basah bisa serap air basah lalu tutup api gak udara masuk
2038449475488997540,2026-03-30T02:53:22.000Z,8,"Sebuah gudang di kawasan industri Ne’ot Hovav, dekat Beersheba, terbakar pada Minggu (29/3) setelah terdampak serangan Iran ke wilayah selatan Israel.

Petugas pemadam kebakaran berjibaku memadamkan api, sementara asap tebal membumbung tinggi dari area terdampak.

Tim dari https://t.co/X9nMzlgQyb",2038449475488997540,https://pbs.twimg.com/amplify_video_thumb/2038449378751635456/img/UVfCx5C8GepsGgVm.jpg,,in,,0,0,1,https://x.com/Metro_TV/status/2038449475488997540,57261519,Metro_TV,buah gudang kawasan industri neot hovav dekat beersheba bakar minggu dampak serang iran wilayah selatan israel tugas madam bakar jibaku madam api asap tebal bumbung tinggi area dampak tim
2042803206791794848,2026-04-11T03:13:32.000Z,10,"BREAKING 🚨
Beredar video kebakaran pada bagian belakang sebuah rumah mewah di kawasan POJ City Semarang, Sabtu (21/4/2026) Pagi. 

Petugas dari Dinas Pemadam Kebakaran Kota Semarang telah mengkondisikan kebakaran tersebut. 
Belum diketahui mengenai penyebab dan jumlah kerugian https://t.co/U2AnRk0rsK",2042803206791794848,https://pbs.twimg.com/ext_tw_video_thumb/2042801086155886598/pu/img/nlaxkyeTDp2dddFo.jpg,,in,,0,0,1,https://x.com/Jateng_Twit/status/2042803206791794848,785145642,Jateng_Twit,breaking edar video bakar bagi belakang buah rumah mewah kawasan poj city semarang sabtu pagi tugas dinas madam bakar kota semarang kondisi bakar sebut tahu kena sebab jumlah rugi
2044247488421605646,2026-04-15T02:52:36.000Z,2,"Babinsa Koramil 1426-04/Galesong, Kodim 1426/Takalar Desa Kalukuang Serda Kamaruddin bersama Damkar dan warga bergerak cepat memadamkan api dan mengevakuasi barang-barang warganya yang mengalami musibah kebakaran rumah di Desa Kalukuang Kecamatan Galesong Kab. Takalar. https://t.co/Eg3ays8F9x",2044247488421605646,https://pbs.twimg.com/media/HF6gPZGasAAo8IX.jpg,,in,,0,0,0,https://x.com/takalar_kodim/status/2044247488421605646,1027033354464518144,takalar_kodim,babinsa koramil galesong kodim takalar desa kalukuang serda kamaruddin sama damkar warga gerak cepat madam api evakuasi barangbarang warga alami musibah bakar rumah desa kalukuang camat galesong kab takalar
2044391583953326318,2026-04-16T09:20:08.000Z,0,@worksfess pemadam kebakaran kek seru banget,2044707405683208365,,worksfess,in,,0,0,0,https://x.com/ventagonis/status/2044707405683208365,293530216,ventagonis,madam bakar kek seru banget
