"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2052709443662741829","2026-05-08T11:17:23.000Z","0","͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

͏

Pembersihan tl","2052709443662741829","","","und","","0","0","16","https://x.com/___Dwi/status/2052709443662741829","854135521","___Dwi"
"2051838917889151461","2026-05-06T01:38:14.000Z","1","Kebakaran melanda sebuah coffee shop, Suar coffee, di Jalan Kuini, Kecamatan Marpoyan Damai, Selasa (5/5/2025) sekitar pukul 21.50 WIB.

Sebanyak lima unit mobil pemadam dikerahkan Dinas Pemadam Kebakaran dan Penyelamatan (DPKP) Kota Pekanbaru.

#infoPKU https://t.co/ZTSJb3m4PH","2051838917889151461","https://pbs.twimg.com/ext_tw_video_thumb/2051838882908663808/pu/img/sBtH30D6aMKAEV52.jpg","","in","","0","1","2","https://x.com/infoPKU/status/2051838917889151461","168590064","infoPKU"
"2053538078862823679","2026-05-11T06:19:02.000Z","0","Sebanyak 7 mobil pemadam kebakaran dikerahkan.

Beruntung, kebakaran tidak sampai merembet ke bangunan di sebelah kiri dan kanan lokasi kejadian. 

Tidak ada korban jiwa maupun korban luka dalam peristiwa tersebut. Untuk penyebab kebakaran masih dalam penyelidikan pihak terkait.","2053721525677932750","","infoPKU","in","","0","0","0","https://x.com/infoPKU/status/2053721525677932750","168590064","infoPKU"
"2044247705653035228","2026-04-15T02:53:27.000Z","2","09.51 Anggota Sat Lantas Jakarta Timur dibantu Petugas Pemadam Kebakaran melakukan penyemprotan / pembersihan tumpahan solar di tikungan dari Jl. MT. Haryono Cawang mengarah Jl. DI. Panjaitan Cipinang Cempedak.
Diimbau kepada masyarakat pengguna jalan untuk berhati-hati saat https://t.co/IMyBZjw5eT","2044247705653035228","https://pbs.twimg.com/media/HF6gR6ZasAI5bqb.jpg","","in","","0","0","0","https://x.com/TMCPoldaMetro/status/2044247705653035228","76647722","TMCPoldaMetro"
"2044999852271255863","2026-04-17T04:42:13.000Z","5","11.40 Terjadi Kebakaran Hunian di Asrama Polri Kalideres Jakarta Barat, saat ini sedang penanganan oleh Petugas Dinas Pemadam Kebakaran, Anggota Satlantas Jakarta Barat melakukan pengamanan maupun pengaturan lalu lintas guna mencegah kepadatan arus lalu lintas sehingga tidak https://t.co/bj4MW900GK","2044999852271255863","https://pbs.twimg.com/media/HGFL_T8aUAAItVc.jpg","","in","","0","1","1","https://x.com/TMCPoldaMetro/status/2044999852271255863","76647722","TMCPoldaMetro"
"2046198492021112971","2026-04-20T12:05:11.000Z","28","Baru saja terjadi kebakaran di Wonocatur RW 25 timur ringroad pukul 18.45. Listrik padam dan saat ini masih menunggu datangnya armada pemadam kebakaran.

( alfarizhaidar ) https://t.co/CF5ogSmrxo","2046198492021112971","https://pbs.twimg.com/amplify_video_thumb/2046198432029974528/img/mM99kpAmYri8dxE3.jpg","","in","","1","5","4","https://x.com/merapi_uncover/status/2046198492021112971","1279804428724211712","merapi_uncover"
"2049831089586516117","2026-04-30T12:39:50.000Z","2","Operasi pemadaman kebakaran apartemen di Jalan Letjen S. Parman, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat dilaksanakan mulai pukul 07.40 WIB hingga 14.50 WIB. 

#KebakaranApartemen #KebakaranGropet #PemadamJakarta #JagaJakarta- @dkijakarta https://t.co/xrWrLdmIfD","2049831089586516117","https://pbs.twimg.com/media/HHJ2dNJbsAAgTcu.jpg","","in","","0","1","1","https://x.com/humasjakfire/status/2049831089586516117","555862521","humasjakfire"
"2053691151841190062","2026-05-11T04:22:02.000Z","0","Apel pagi hari ini dipimpin oleh Kepala Satuan Polisi Pamong Praja dan Pemadam Kebakaran Kabupaten Cianjur, Bapak Djoko Purnomo, S.STP, https://t.co/i2pKndzcyo dengan beberapa informasi yang disampaikan.","2053692082792136977","","stpolpp_dmkrcjr","in","","0","0","0","https://x.com/stpolpp_dmkrcjr/status/2053692082792136977","1745688053296123905","stpolpp_dmkrcjr"
"2052624290936496573","2026-05-08T05:39:01.000Z","5","Kebakaran terjadi di salah satu rumah di Tanjung Barat, Jakarta Selatan pada Jumat (8/5) pagi. Anggota BPK RI, Haerul Saleh, menjadi korban dalam kejadian tersebut.  Dari keterangan petugas pemadam kebakaran, api diduga berasal dari sisa-sisa tiner bekas renovasi rumah. https://t.co/QJF7vh7pGV","2052624290936496573","https://pbs.twimg.com/amplify_video_thumb/2052624156274180096/img/-OIaYsd4DwfC1IgT.jpg","","in","","0","2","0","https://x.com/DiskursusNet/status/2052624290936496573","1431093872835235843","DiskursusNet"
"2052633980323987723","2026-05-08T06:17:31.000Z","3","13.00 Telah terjadi kebakaran sebuah restoran soto lejit yang berlokasi di Jl. Batu Tulis Raya No.48E, RT.3/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, saat ini Api berhasil di padamkan oleh Petugas Damkar. https://t.co/77sgIhYvkJ","2052633980323987723","https://pbs.twimg.com/media/HHxroIWb0AAN_CH.jpg","","in","","0","0","0","https://x.com/TMCPoldaMetro/status/2052633980323987723","76647722","TMCPoldaMetro"
"2051364380630261948","2026-05-04T18:12:35.000Z","1","Kebakaran Gedung Metro Sport Center Semarang, Damkar Evakuasi 2 Orang yang Sempat Terjebak https://t.co/YFYAegHyuV","2051364380630261948","","","in","","0","0","0","https://x.com/KompasTV/status/2051364380630261948","71436318","KompasTV"
"2051239058584821828","2026-05-04T09:54:36.000Z","1","BMKG: Peringatan Dini Curah Hujan Tinggi 1-10 Mei 2026, Sejumlah Wilayah Masuk Kategori Siaga https://t.co/obeCNrBljL","2051239058584821828","","","in","","0","0","0","https://x.com/KompasTV/status/2051239058584821828","71436318","KompasTV"
"2051166881369989405","2026-05-04T05:07:48.000Z","2","Kabag Logistik Polres Belitung Timur AKP Abdul Haris menghadiri kegiatan penutupan rangkaian Hari Ulang Tahun (HUT) Pemadam Kebakaran (Damkar), Satuan Polisi Pamong Praja (Satpol PP), dan Satuan Perlindungan Masyarakat (Satlinmas) yang digelar di kawasan Situ Kolong Minyak, https://t.co/jtUc9DE4j9","2051166881369989405","https://pbs.twimg.com/media/HHc1ZuPbUAAk7XY.jpg","","in","","0","1","0","https://x.com/polres_beltim/status/2051166881369989405","1178865617731903488","polres_beltim"
"2047500378225455593","2026-04-24T02:18:25.000Z","1","Yonif 413 Kostrad Gelar Pelatihan Pemadam Kebakaran Bersama Damkar Sukoharjo https://t.co/1Tzb9C1UPx","2047500378225455593","https://pbs.twimg.com/media/HGouvJTakAAf1Tc.jpg","","in","","0","0","0","https://x.com/Cakra_Kostrad/status/2047500378225455593","702207679","Cakra_Kostrad"
